Mkt-RF,SP500,VIXCLS,DEXJPUS,NIKKEI225,T10Y3M,ads_index,open,high,low,close
1.11,3185.04,27.29,106.77,22290.81,0.52,6.23431,92.99794517078624,93.62713772904176,92.3833917476599,93.568603515625
-1.2,3155.22,32.19,107.22,22784.74,0.5,5.96868,94.88065035131392,97.50471021548752,92.9223623975769,93.13697052001952
1.35,3197.52,29.52,107.2,22587.01,0.48,5.88824,92.51509139468824,94.87089104721316,91.57619204590678,94.67823791503906
1.14,3226.56,27.76,106.92,22945.5,0.48,5.81081,96.56336552351893,96.81455289285016,94.12465030967456,95.32937622070312
-0.37,3215.57,28.0,107.05,22770.36,0.51,5.73637,94.1953847814198,95.01723070187282,93.55400142371484,94.15636444091795
0.3,3224.73,25.68,107.06,22696.42,0.53,5.66487,94.60995749145152,94.766031391466,93.49058068512016,93.96613311767578
1.01,3251.84,24.46,107.21,22717.48,0.49,5.46505,94.05393499901598,96.08538154225975,93.70763415637896,95.94637298583984
0.16,3257.3,24.84,106.82,22884.22,0.48,5.39955,96.74138283973544,96.81698240693082,94.3709516377703,94.62213897705078
0.49,3276.02,24.32,107.18,22751.61,0.47,5.33409,94.32217866739256,95.57324067030336,94.23438849852678,94.8879623413086
-1.2,3235.66,26.08,106.83,0.0,0.47,5.26865,94.61971828991412,94.69775897042238,89.75448543634305,90.56901550292967
-0.75,3215.63,25.84,105.79,0.0,0.48,5.20321,88.7570440797501,90.6909434776598,86.95970469743494,90.34464263916016
0.88,3239.41,24.74,105.29,22715.85,0.51,5.0026,91.41279902235758,92.57850458208418,91.18844139325786,92.48583221435548
-0.81,3218.44,25.44,105.03,22657.38,0.48,4.92892,92.05415627940488,92.23218511667356,90.96160950711774,90.96649169921876
1.35,3258.44,24.1,105.06,22397.11,0.47,4.85111,91.45181199322506,92.89553453986647,91.41523275690128,92.71018981933594
-0.29,3246.22,24.76,105.05,22339.23,0.46,4.76916,91.87859510620235,93.93687132918664,91.46889273901064,93.8320083618164
0.61,3271.12,24.46,105.78,21710.0,0.46,4.68303,100.3628932843627,103.80635815703091,98.35338678142708,103.65515899658205
