Date,ADS_Index
1962:08:04,0.317017
1962:08:05,0.301559
1962:08:06,0.287196
1962:08:07,0.27392
1962:08:08,0.261726
1962:08:09,0.250611
1962:08:10,0.240568
1962:08:11,0.231596
1962:08:12,0.223689
1962:08:13,0.216845
1962:08:14,0.211062
1962:08:15,0.206336
1962:08:16,0.202666
1962:08:17,0.200051
1962:08:18,0.198489
1962:08:19,0.19798
1962:08:20,0.198524
1962:08:21,0.200121
1962:08:22,0.202772
1962:08:23,0.206477
1962:08:24,0.211238
1962:08:25,0.217057
1962:08:26,0.223937
1962:08:27,0.231879
1962:08:28,0.240887
1962:08:29,0.250965
1962:08:30,0.262117
1962:08:31,0.274346
1962:09:01,0.287659
1962:09:02,0.299815
1962:09:03,0.310819
1962:09:04,0.320677
1962:09:05,0.329391
1962:09:06,0.336966
1962:09:07,0.343404
1962:09:08,0.348707
1962:09:09,0.352878
1962:09:10,0.355919
1962:09:11,0.35783
1962:09:12,0.358613
1962:09:13,0.358267
1962:09:14,0.356793
1962:09:15,0.35419
1962:09:16,0.350457
1962:09:17,0.345592
1962:09:18,0.339594
1962:09:19,0.33246
1962:09:20,0.324187
1962:09:21,0.314773
1962:09:22,0.304213
1962:09:23,0.292503
1962:09:24,0.279639
1962:09:25,0.265616
1962:09:26,0.250428
1962:09:27,0.234069
1962:09:28,0.216532
1962:09:29,0.197812
1962:09:30,0.1779
1962:10:01,0.156788
1962:10:02,0.13652
1962:10:03,0.117088
1962:10:04,0.0984843
1962:10:05,0.0807012
1962:10:06,0.0637319
1962:10:07,0.0475697
1962:10:08,0.0322083
1962:10:09,0.0176416
1962:10:10,0.00386387
1962:10:11,-0.00913024
1962:10:12,-0.0213459
1962:10:13,-0.0327879
1962:10:14,-0.0434607
1962:10:15,-0.0533685
1962:10:16,-0.0625153
1962:10:17,-0.0709047
1962:10:18,-0.0785398
1962:10:19,-0.0854238
1962:10:20,-0.0915593
1962:10:21,-0.0969488
1962:10:22,-0.101594
1962:10:23,-0.105498
1962:10:24,-0.108661
1962:10:25,-0.111084
1962:10:26,-0.11277
1962:10:27,-0.113717
1962:10:28,-0.113927
1962:10:29,-0.1134
1962:10:30,-0.112136
1962:10:31,-0.110133
1962:11:01,-0.107392
1962:11:02,-0.105098
1962:11:03,-0.103251
1962:11:04,-0.10185
1962:11:05,-0.100894
1962:11:06,-0.100383
1962:11:07,-0.100317
1962:11:08,-0.100696
1962:11:09,-0.101519
1962:11:10,-0.102788
1962:11:11,-0.104502
1962:11:12,-0.106662
1962:11:13,-0.10927
1962:11:14,-0.112327
1962:11:15,-0.115832
1962:11:16,-0.119788
1962:11:17,-0.124197
1962:11:18,-0.12906
1962:11:19,-0.134379
1962:11:20,-0.140156
1962:11:21,-0.146394
1962:11:22,-0.153094
1962:11:23,-0.16026
1962:11:24,-0.167894
1962:11:25,-0.175999
1962:11:26,-0.184579
1962:11:27,-0.193637
1962:11:28,-0.203176
1962:11:29,-0.2132
1962:11:30,-0.223714
1962:12:01,-0.234721
1962:12:02,-0.244603
1962:12:03,-0.253364
1962:12:04,-0.261009
1962:12:05,-0.267539
1962:12:06,-0.272957
1962:12:07,-0.277266
1962:12:08,-0.280468
1962:12:09,-0.282562
1962:12:10,-0.283551
1962:12:11,-0.283435
1962:12:12,-0.282213
1962:12:13,-0.279885
1962:12:14,-0.276451
1962:12:15,-0.271908
1962:12:16,-0.266256
1962:12:17,-0.259491
1962:12:18,-0.251612
1962:12:19,-0.242614
1962:12:20,-0.232496
1962:12:21,-0.221252
1962:12:22,-0.208878
1962:12:23,-0.195369
1962:12:24,-0.18072
1962:12:25,-0.164926
1962:12:26,-0.147979
1962:12:27,-0.129874
1962:12:28,-0.110603
1962:12:29,-0.0901587
1962:12:30,-0.068533
1962:12:31,-0.0457173
1963:01:01,-0.0217028
1963:01:02,0.00200081
1963:01:03,0.0254028
1963:01:04,0.0485123
1963:01:05,0.0713385
1963:01:06,0.0938904
1963:01:07,0.116177
1963:01:08,0.138206
1963:01:09,0.159988
1963:01:10,0.18153
1963:01:11,0.202841
1963:01:12,0.22393
1963:01:13,0.244804
1963:01:14,0.265472
1963:01:15,0.285942
1963:01:16,0.306222
1963:01:17,0.326321
1963:01:18,0.346245
1963:01:19,0.366003
1963:01:20,0.385602
1963:01:21,0.405051
1963:01:22,0.424357
1963:01:23,0.443527
1963:01:24,0.462569
1963:01:25,0.481491
1963:01:26,0.5003
1963:01:27,0.519003
1963:01:28,0.537608
1963:01:29,0.556122
1963:01:30,0.574552
1963:01:31,0.592906
1963:02:01,0.611191
1963:02:02,0.628332
1963:02:03,0.644336
1963:02:04,0.65921
1963:02:05,0.672959
1963:02:06,0.685589
1963:02:07,0.697104
1963:02:08,0.70751
1963:02:09,0.71681
1963:02:10,0.725009
1963:02:11,0.732108
1963:02:12,0.738111
1963:02:13,0.743021
1963:02:14,0.746839
1963:02:15,0.749567
1963:02:16,0.751205
1963:02:17,0.751756
1963:02:18,0.751217
1963:02:19,0.749591
1963:02:20,0.746875
1963:02:21,0.743069
1963:02:22,0.738172
1963:02:23,0.732181
1963:02:24,0.725093
1963:02:25,0.716908
1963:02:26,0.70762
1963:02:27,0.697226
1963:02:28,0.685723
1963:03:01,0.673105
1963:03:02,0.661585
1963:03:03,0.651157
1963:03:04,0.641817
1963:03:05,0.633561
1963:03:06,0.626387
1963:03:07,0.620292
1963:03:08,0.615272
1963:03:09,0.611327
1963:03:10,0.608455
1963:03:11,0.606653
1963:03:12,0.605923
1963:03:13,0.606263
1963:03:14,0.607674
1963:03:15,0.610155
1963:03:16,0.613709
1963:03:17,0.618337
1963:03:18,0.62404
1963:03:19,0.63082
1963:03:20,0.638681
